0.4876913,0.1316588,0.8337629,1.5854379,0.6528834,2.9570285
0.5272213,0.1201359,0.7951272,0.9696210,1.1318423,2.5636360
0.5282714,0.1445807,0.7100353,1.0568689,0.7009341,2.7264765
0.5427228,0.1807719,0.7751865,1.3745853,0.7940191,2.9542697
0.4429796,0.1223199,0.7184889,1.6610066,-0.7755112,3.0551016
0.5400879,0.1885679,0.8253126,1.4086308,0.7860610,2.9647144
0.4391699,0.1244334,0.8874077,2.0756132,-0.5352557,2.6157480
0.5261306,0.1741875,0.8150549,1.5334133,0.7807383,3.0297477
0.5371823,0.1621314,0.8321607,1.3669946,0.7255017,2.9286884
0.3805301,0.1427907,0.6810212,1.5412226,-0.7556404,3.1047772
0.3670377,0.1254513,0.6904216,1.5892039,-0.8109958,2.7791816
0.3294871,0.1328281,0.6863204,1.5716522,-0.5412046,2.8425689
0.4896957,0.1696772,0.7955637,1.2773687,0.8509917,2.7138294
0.4613409,0.1565765,0.9195144,1.9712443,0.8444907,-3.1208215
0.5155278,0.1722438,0.8717987,1.6309837,0.7766505,3.0653369
0.5328020,0.1759753,0.7382361,1.3128196,0.7184173,2.8812866
